"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.239757000E0,7.702972066E-2,6.419316734E-1,1.238732636E-1,6.582966175E-1
1.249720000E0,5.539420961E-2,4.493106488E-1,-7.567700386E-2,4.589941029E-1
1.259682000E0,6.223010721E-2,4.283189619E-1,4.768521309E-2,4.354349537E-1
1.269645000E0,6.354248278E-2,2.826813384E-1,1.592430711E-2,2.901723104E-1
1.279607000E0,2.330303645E-2,1.447671924E-2,-4.064107239E-2,4.903369936E-2
1.289570000E0,6.578300791E-2,-4.993986290E-2,9.496170580E-2,1.258535641E-1
1.299532000E0,9.348706543E-3,-1.535736473E-2,-5.427210152E-2,5.717261555E-2
1.309495000E0,6.446996539E-2,-5.099223381E-2,1.072373503E-1,1.351163708E-1
1.319457000E0,1.086755735E-2,-3.591213673E-2,-4.694495559E-2,6.009670725E-2
1.329420000E0,1.982471058E-3,-5.862131534E-2,6.936668873E-2,9.084121481E-2
1.339382000E0,-4.292939394E-2,-5.144199433E-2,-2.584060013E-2,7.181189498E-2
1.349345000E0,-3.905588766E-2,-4.694031436E-2,1.136651945E-1,1.290291902E-1
1.359307000E0,-3.417099580E-2,-5.672279751E-2,5.588067055E-2,8.664745843E-2
1.369270000E0,-1.235300138E-2,-4.304122651E-2,4.839389563E-2,6.593263954E-2
1.379233000E0,1.351204286E-2,-4.522722635E-2,3.341683745E-2,5.783392025E-2
1.389195000E0,3.369789210E-2,-4.261045117E-2,1.789247990E-4,5.432522890E-2
1.399158000E0,5.339775549E-2,-2.623656627E-2,9.201178551E-3,6.020248655E-2
1.409120000E0,-1.116847060E-1,6.123907724E-2,-4.349410433E-1,4.532079095E-1
1.419083000E0,4.210468894E-1,-1.874220276E-1,5.626722997E-1,7.273290977E-1
1.429045000E0,-1.096366091E-1,4.172187539E-2,-1.538022369E-1,1.934322337E-1
1.439008000E0,-6.170160571E-2,-5.777962692E-4,-2.815451878E-1,2.882275400E-1
1.448970000E0,3.326553709E-1,-1.544502729E-1,7.165856338E-1,8.049903435E-1
1.458933000E0,-2.546594893E-1,5.518947484E-2,-9.899178225E-1,1.023637938E0
1.468895000E0,-3.798980741E0,-1.069223316E0,2.884373009E-1,3.957106170E0
1.478858000E0,-4.620649903E0,-1.625282269E0,2.222275239E-1,4.903196208E0
1.488820000E0,-2.333532112E0,-9.369823214E-1,2.590667367E-2,2.514752303E0
1.498783000E0,-3.361711628E0,-1.381842947E0,3.263804680E-1,3.649262831E0
1.508745000E0,-2.125257945E0,-1.513821621E0,-3.852046269E-1,2.637567030E0
1.518708000E0,-1.110169028E0,-1.518270036E0,3.188521779E-1,1.907691245E0
1.528671000E0,-6.709188430E-2,-2.052827607E0,2.758248568E-2,2.054108882E0
1.538633000E0,2.982458955E-1,-1.967979977E0,1.933516341E-1,1.999820156E0
1.548596000E0,-3.135001483E-1,-2.063621714E0,7.717213690E-2,2.088725080E0
1.558558000E0,-7.049046510E-1,-2.420656064E0,-1.509704304E-1,2.525719386E0
1.568520167E0,-5.696438619E-1,-2.314187622E0,3.064888251E-1,2.402892815E0
1.578482167E0,1.893922103E-1,-2.116308489E0,-2.229017079E-2,2.124883028E0
1.588445167E0,2.448477700E-1,-1.803507741E0,-9.237255871E-2,1.822394933E0
1.598407167E0,2.249065263E-5,-1.410736963E0,2.002665514E-1,1.424880862E0
1.608370167E0,6.251063834E-1,-1.324974243E0,-8.596927285E-2,1.467550834E0
1.618332167E0,7.397965217E-1,-1.159789524E0,5.142743111E-2,1.376610117E0
1.628295167E0,4.879725483E-1,-1.011933686E0,5.350202322E-2,1.124717502E0
1.638257167E0,8.763248411E-1,-8.360394256E-1,-1.087739986E-1,1.216034099E0
1.648220167E0,1.160294796E0,-7.915655764E-1,1.271325016E-1,1.410327178E0
1.658182167E0,1.139631321E0,-9.020566099E-1,-3.366885245E-2,1.453822295E0
1.668145167E0,1.110743298E0,-8.760829125E-1,1.032553965E-1,1.418426459E0
1.678108167E0,9.434179131E-1,-9.860707931E-1,2.236150682E-2,1.364871058E0
1.688070167E0,7.242746492E-1,-1.286643844E0,4.087729990E-2,1.477056906E0
1.698033167E0,2.545606165E-1,-1.434555450E0,1.740470517E-1,1.467325057E0
1.707995167E0,-8.573626131E-3,-1.773843939E0,1.202655315E-2,1.773905427E0
1.717958167E0,-1.278750797E-1,-1.850306077E0,1.763192797E-1,1.863081615E0
1.727920167E0,3.088104986E-1,-1.927276631E0,-1.581145585E-2,1.951924471E0
1.737883167E0,4.707449334E-1,-1.812541689E0,1.158105379E-1,1.876251648E0
1.747845167E0,7.519180921E-1,-1.880016219E0,-3.803555310E-2,2.025163821E0
1.757808167E0,6.250662569E-1,-1.691105106E0,1.049621987E-1,1.805979338E0
1.767770167E0,1.063591643E0,-1.469214382E0,1.029010552E-1,1.816702152E0
1.777733167E0,1.472625063E0,-1.438135115E0,5.385285616E-4,2.058362814E0
1.787695167E0,1.744463288E0,-1.702885930E0,-1.518135989E-1,2.442543761E0
1.797658167E0,1.743886460E0,-1.817878589E0,2.082199341E-1,2.527682355E0
1.807620167E0,1.616069103E0,-1.319969026E0,-3.123524129E-2,2.086857259E0
1.817583167E0,1.245294381E0,-1.056934515E0,2.972841382E-2,1.633631673E0
1.827545167E0,9.455672765E-1,-1.140007077E0,9.458514512E-2,1.484136099E0
1.837508167E0,7.678203260E-1,-1.072491763E0,2.868643999E-3,1.319012837E0
1.847471167E0,7.864635884E-1,-1.331874688E0,9.780403733E-2,1.549832504E0
1.857433167E0,5.156344465E-1,-1.569981496E0,-4.681865573E-3,1.652495900E0
1.867396167E0,1.977267767E-1,-1.514513931E0,3.038856447E-2,1.527668744E0
1.877358167E0,2.966142117E-1,-1.462934326E0,3.712794828E-1,1.538182462E0
1.887321167E0,8.252987482E-1,-1.330736674E0,-4.092980790E-1,1.618487886E0
1.897283167E0,5.994870638E-1,-6.296466733E-1,3.866488892E-1,9.514920054E-1
1.907246167E0,6.552881757E-1,-5.894956706E-1,-2.268655354E-1,9.101514765E-1
1.917208167E0,6.541831981E-1,-3.280929348E-1,2.427682078E-1,7.710622759E-1
1.927171167E0,7.122068001E-1,-4.199782377E-1,-3.423193932E-2,8.275216444E-1
1.937133167E0,8.083590721E-1,-4.812686060E-1,-4.328342915E-2,9.417734950E-1
1.947096167E0,6.623452534E-1,-2.908389899E-1,1.492969573E-1,7.386326111E-1
1.957058167E0,6.689042944E-1,-4.854180826E-1,-3.338467777E-2,8.271506554E-1
1.967021167E0,1.120318625E0,-4.488384861E-1,3.601826370E-2,1.207421684E0
1.976983167E0,1.797866347E0,-4.126702779E-1,-1.186628097E-1,1.848432044E0
1.986946167E0,2.392318702E0,-5.277450899E-1,1.305431825E-1,2.453313102E0
1.996908167E0,3.298050945E0,-5.434849539E-1,1.173313987E-1,3.344590048E0
2.006871167E0,4.224340536E0,-3.982604362E-1,-2.109529227E-1,4.248313251E0
2.016834167E0,3.770982810E0,6.385014226E-2,2.960205549E-1,3.783122568E0
2.026796167E0,2.959962305E0,1.320935626E-1,-3.118822968E-1,2.979277785E0
2.036759167E0,1.445745705E0,5.732664312E-1,2.223473918E-1,1.571067601E0
2.046721167E0,1.541453954E-1,4.668000728E-1,-5.054391682E-2,4.941839723E-1
2.056684167E0,2.349516134E-1,6.816271048E-1,1.212917179E-1,7.311152108E-1
2.066646167E0,1.578182874E-1,6.684700656E-1,-7.780012786E-2,6.912392497E-1
2.076609167E0,9.841159045E-2,7.357343879E-1,8.895369172E-2,7.475979468E-1
2.086571167E0,1.149170560E-1,7.123836784E-1,-9.143232644E-2,7.273625680E-1
