"Time (s)","Linear Acceleration x (m/s2)","Linear Acceleration y (m/s2)","Linear Acceleration z (m/s2)","Absolute acceleration (m/s2)"
9.516808749E-1,-9.583677817E-3,-1.564820889E0,-2.693712848E-1,1.587865596E0
9.616428750E-1,-5.361858746E-1,-1.578976121E0,-1.607475597E-1,1.675261371E0
9.716058749E-1,-2.098372694E-3,-1.529705143E0,2.520962709E-1,1.550340207E0
9.815678750E-1,3.770271405E-2,-1.373308351E0,3.818044710E-1,1.425893395E0
9.915308750E-1,1.186626087E-1,-1.448605432E0,1.254695535E-1,1.458862955E0
1.001492875E0,7.783143239E-1,-1.916112689E0,-2.154014844E-1,2.079340959E0
1.011455875E0,1.153077436E-2,-2.217453040E0,-2.371443558E-1,2.230127438E0
1.021417875E0,-1.595148204E0,-2.435918904E0,3.979123807E-1,2.938797878E0
1.031380875E0,-1.573879688E0,-2.721800241E0,3.840433699E-1,3.167456888E0
1.041342875E0,-6.514587611E-1,-2.683921978E0,1.555721891E-1,2.766231807E0
1.051305875E0,-6.264201797E-1,-2.748167968E0,-5.670208740E-1,2.875124709E0
1.061267875E0,-1.237281065E0,-2.616064163E0,2.408187461E-1,2.903902514E0
1.071230875E0,-1.371636778E0,-2.384582690E0,4.305129468E-1,2.784414382E0
1.081192875E0,-1.285032497E0,-2.334113325E0,-7.776562929E-2,2.665603314E0
1.091155875E0,-6.257837103E-1,-2.392793642E0,-6.622673392E-2,2.474156957E0
1.101117875E0,3.826026525E-1,-2.295256823E0,3.599154192E-1,2.354597159E0
1.111079875E0,1.740672830E0,-2.933831683E0,-2.884595203E-1,3.423524374E0
1.121042875E0,2.113997231E0,-3.199127458E0,2.068820912E-1,3.840078253E0
1.131004875E0,2.144445583E0,-3.717707074E0,1.919822162E-1,4.296143610E0
1.140967875E0,2.480065821E0,-3.891972812E0,-1.265904647E-1,4.616730877E0
1.150929875E0,3.127155543E0,-3.563565991E0,4.826671869E-1,4.765613494E0
1.160892875E0,3.007124484E0,-3.352114593E0,-3.523122847E-2,4.503411057E0
1.170854875E0,2.449826653E0,-3.225931095E0,1.609241456E-1,4.053909057E0
1.180817875E0,1.909983784E0,-2.730435994E0,-3.391823620E-1,3.349382547E0
1.190779875E0,1.785963316E0,-2.193144557E0,5.593879187E-1,2.883134208E0
1.200742875E0,1.621541805E-1,-2.035637232E0,1.114368206E-1,2.045123733E0
1.210704875E0,-1.819621205E0,-1.666838723E0,-6.126806116E-1,2.542587302E0
1.220667875E0,1.385208129E-1,-1.264729064E0,1.012339556E0,1.625902518E0
1.230629875E0,1.157414165E0,-1.241669400E0,-3.706263489E-1,1.737444773E0
1.240592875E0,8.748394290E-1,-1.049792726E0,-4.638058233E-1,1.443095505E0
1.250554875E0,3.449473146E-1,-6.460492095E-1,8.952087164E-1,1.156618726E0
1.260516875E0,2.963196034E-1,-7.304425847E-1,-6.314297086E-1,1.009977799E0
1.270479875E0,1.324614073E-2,-2.149687539E-1,1.042453301E-1,2.392783196E-1
1.280441875E0,-3.178023103E-1,-1.657095069E-1,4.232577217E-1,5.546215359E-1
1.290404875E0,3.344705660E-1,-1.156357245E-1,-4.202446514E-1,5.494067230E-1
1.300366875E0,7.983590908E-1,1.051207679E-1,2.676907951E-1,8.485787975E-1
