"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.474990000E-1,-1.306974888E-2,5.272575468E-2,4.693114281E0,4.693428648E0
9.574620001E-1,1.837386750E-2,1.282074302E-1,4.574315071E0,4.576148284E0
9.674250000E-1,-1.502510253E-2,4.193565995E-2,4.389026165E0,4.389252218E0
9.773880000E-1,8.273882791E-3,8.211588860E-2,4.452577591E0,4.453342417E0
9.873500001E-1,3.577930387E-3,9.678883851E-2,4.420422554E0,4.421483511E0
9.973130000E-1,-1.785540581E-2,3.298170492E-2,4.426454067E0,4.426612951E0
1.007276000E0,-1.096667256E-3,7.398053259E-2,4.425761223E0,4.426379641E0
1.017239000E0,1.244077925E-2,1.049419194E-1,4.566258430E0,4.567481104E0
1.027202000E0,8.022595197E-3,9.966486692E-2,4.666946888E0,4.668017856E0
1.037165000E0,1.774159446E-2,1.304182708E-1,4.737451077E0,4.739279100E0
1.047127000E0,6.244995166E-3,9.665098786E-2,4.723077774E0,4.724070710E0
1.057090000E0,8.106445894E-3,1.187574863E-1,4.786644936E0,4.788124768E0
1.067053000E0,1.387192402E-2,1.442692429E-1,4.720950127E0,4.723174371E0
1.077016000E0,-6.120095495E-3,8.776734769E-2,4.630110264E0,4.630946082E0
1.086979000E0,-3.046351857E-2,8.258940652E-3,4.562773705E0,4.562882873E0
1.096942000E0,-8.731346577E-3,5.013377592E-2,4.665407181E0,4.665684708E0
1.106905000E0,2.375016361E-2,1.186478510E-1,4.865122795E0,4.866627291E0
1.116867000E0,7.997032255E-3,1.074015871E-1,5.000679970E0,5.001839583E0
1.126830000E0,-3.497436643E-3,6.448794156E-2,5.173376083E0,5.173779182E0
1.136793000E0,1.920244843E-2,1.314934790E-1,5.428600311E0,5.430226571E0
1.146756000E0,2.244138531E-2,1.432076693E-1,5.651473522E0,5.653332205E0
1.156719000E0,-1.845167018E-3,1.216093749E-1,5.811695099E0,5.812967587E0
1.166682000E0,1.622065157E-2,1.428353190E-1,5.903767109E0,5.905517007E0
1.176645000E0,1.626396552E-2,1.690680981E-1,5.786633968E0,5.789126119E0
1.186607000E0,-1.378980838E-2,9.689563513E-2,5.507084846E0,5.507954469E0
1.196570000E0,2.355801687E-2,1.604043841E-1,5.136261463E0,5.138819550E0
1.206533000E0,2.939593233E-2,1.798760742E-1,4.596539497E0,4.600151614E0
1.216496000E0,-2.055396698E-2,2.119552903E-2,3.853954077E0,3.854067169E0
1.226459000E0,3.359049559E-2,1.540720761E-1,3.097241640E0,3.101253344E0
1.236422000E0,-2.067518979E-2,1.041454496E-3,2.290259361E0,2.290352918E0
1.246384000E0,5.130308680E-3,5.230411142E-2,1.612384915E0,1.613241196E0
1.256347000E0,3.057333641E-2,1.023817211E-1,1.093831301E0,1.099037606E0
1.266310000E0,-3.044740669E-2,-6.570102274E-2,7.441893816E-1,7.477041558E-1
1.276273000E0,2.076447941E-2,6.205495074E-2,4.498462677E-1,4.545807355E-1
1.286236000E0,-1.664014906E-2,-3.813849390E-2,1.854273975E-1,1.900388355E-1
1.296199000E0,7.173779421E-3,1.887493953E-2,-2.047343645E-3,2.029576482E-2
1.306162000E0,-4.176612943E-3,-1.151652262E-2,1.455246005E-3,1.233661744E-2
1.316124000E0,2.315046266E-3,1.139731333E-2,-4.859017208E-4,1.164020149E-2
1.326087000E0,-4.215557128E-3,-8.127652109E-3,-4.648629110E-4,9.167646821E-3
1.336050000E0,3.690364771E-3,7.491789758E-3,-3.783404827E-4,8.359954990E-3
1.346013000E0,-2.355543431E-3,-7.402737625E-3,9.114284767E-4,7.821752429E-3
1.355976000E0,3.281142097E-3,4.182933830E-3,3.758217208E-4,5.329546965E-3
1.365939000E0,-1.880064141E-3,-6.866521202E-3,-2.444284037E-4,7.123447188E-3
1.375902000E0,2.985769184E-3,1.981939189E-3,-7.216269150E-4,3.655632090E-3
1.385864000E0,-2.560796216E-3,-7.485065609E-3,-1.457991078E-3,8.044229138E-3
1.395827000E0,1.485289540E-4,3.979471046E-3,8.285297081E-4,4.067519162E-3
1.405790000E0,-2.723690122E-3,-2.292273333E-3,3.289206652E-4,3.575079541E-3
1.415753000E0,9.058199357E-4,2.203602111E-3,-6.709992886E-5,2.383458500E-3
1.425716000E0,-1.598980650E-2,-4.534953460E-2,1.107087824E-3,4.809864701E-2
1.435679000E0,8.703374304E-3,2.319215424E-2,1.288235653E-3,2.480492479E-2
1.445641000E0,8.590333164E-4,7.875135634E-4,1.084770192E-3,1.592118784E-3
1.455604000E0,7.532957941E-3,2.268254571E-2,1.303932397E-3,2.393623978E-2
1.465567000E0,-3.757247236E-3,-5.411673337E-3,-6.984984502E-4,6.625029448E-3
1.475530000E0,4.399928730E-3,1.149492897E-2,-5.851937458E-4,1.232214334E-2
