"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.477800625E0,9.123529354E-4,2.444253087E-2,-1.036948878E-2,2.656682143E-2
2.487762625E0,-1.685626192E-2,1.770419955E-2,-2.036183216E-2,3.181472075E-2
2.497724625E0,-1.550076313E-2,7.882046700E-4,-2.366368175E-3,1.570014721E-2
2.507686625E0,-2.623933913E-2,1.470282376E-2,-1.452740729E-2,3.340241768E-2
2.517648625E0,-1.356009966E-2,2.712523341E-2,-3.723506927E-3,3.055354471E-2
2.527611625E0,-3.078754557E-2,1.545360625E-2,-1.652777631E-2,3.820803971E-2
2.537573625E0,-8.788438216E-3,9.167264700E-3,-1.982092816E-2,2.354027573E-2
2.547535625E0,-1.090391516E-2,7.670377493E-3,-1.189681806E-2,1.786796957E-2
2.557497625E0,3.836559188E-3,1.455781281E-2,-1.792113125E-2,2.340547042E-2
2.567459625E0,1.699612915E-2,1.236101389E-3,6.022047400E-3,1.807377679E-2
2.577421625E0,1.869992556E-2,-7.445844412E-3,-1.223639511E-2,2.355540660E-2
2.587384625E0,2.549635445E-2,-1.478117645E-2,1.399180233E-2,3.262388389E-2
2.597346625E0,1.969197879E-2,-1.165350080E-3,1.468528211E-2,2.459246999E-2
2.607308625E0,2.605023652E-2,-1.643710792E-2,1.580977477E-2,3.462285831E-2
2.617270625E0,-3.916264046E-5,8.847422004E-3,1.291065216E-2,1.565130503E-2
2.627232625E0,-8.035714268E-3,2.290822148E-2,-1.156396531E-2,2.689023259E-2
2.637195625E0,-1.027250266E-2,1.196983516E-2,-2.898640215E-2,3.300019355E-2
2.647157625E0,-2.309429085E-2,2.438873649E-2,-3.336483378E-2,4.734309739E-2
2.657119625E0,-4.365924066E-3,2.737666368E-2,-2.591252089E-2,3.794735493E-2
2.667081625E0,-1.078477357E-2,1.554306865E-2,-1.572612304E-2,2.460100140E-2
2.677043625E0,-5.646098843E-3,2.122948587E-2,-3.605860949E-2,4.222313134E-2
2.687005625E0,7.471599570E-4,5.715594828E-2,-2.574112438E-2,6.268944214E-2
