"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.364542375E0,-7.860000869E-3,-3.964996934E-3,3.381386340E-2,3.494106713E-2
1.374504375E0,6.404208625E-3,7.083317041E-3,1.226511955E-2,1.554414443E-2
1.384466375E0,6.335908121E-3,1.082319617E-3,5.985209942E-3,8.782817630E-3
1.394428375E0,5.588410122E-3,1.917185068E-2,4.620703697E-2,5.033766435E-2
1.404390375E0,2.746320704E-2,6.583964825E-3,8.351505026E-3,2.945036452E-2
1.414352375E0,2.332906798E-2,-8.825787306E-3,-3.493638262E-2,4.292657411E-2
1.424314375E0,1.251109775E-2,4.917508364E-4,-9.943848029E-3,1.598904311E-2
1.434276375E0,-7.303882695E-3,3.526514232E-2,2.245498918E-2,4.244058794E-2
1.444238375E0,1.288159424E-2,1.603481948E-2,-5.458083451E-2,5.832768126E-2
1.454201375E0,-1.067988229E-2,2.301522553E-2,-1.320476711E-2,2.860290835E-2
1.464163375E0,1.082820057E-2,1.787084520E-2,2.308904663E-2,3.114034537E-2
1.474125375E0,3.457808078E-2,3.708304167E-3,5.657648921E-2,6.641004684E-2
1.484087375E0,4.543875852E-3,-1.947532117E-2,6.693439320E-2,6.985805562E-2
1.494049375E0,3.149639028E-2,-8.381983638E-3,-2.245330811E-4,3.259341445E-2
1.504011375E0,1.938626305E-2,-1.221600294E-2,-2.780541077E-2,3.603052583E-2
1.513973375E0,2.106608360E-2,-1.525597036E-2,-3.591067493E-2,4.434073842E-2
1.523935375E0,2.693036810E-2,-8.491911292E-3,-6.206950977E-2,6.819077157E-2
1.533897375E0,2.590976858E-2,-1.987410128E-2,-9.755151071E-2,1.028717320E-1
1.543859375E0,-1.204704582E-3,-9.215211868E-4,-5.191106893E-2,5.193322243E-2
1.553821375E0,1.186274432E-3,-2.125521362E-2,-4.339518405E-2,4.833563232E-2
1.563783708E0,1.425551176E-2,4.266713262E-3,-5.885339499E-2,6.070540799E-2
1.573745708E0,1.179300485E-2,8.402448893E-3,5.615008101E-3,1.553075745E-2
1.583707708E0,-1.238051984E-2,3.672519207E-2,1.034477699E-1,1.104692631E-1
1.593669708E0,-1.267552557E-2,2.406889379E-2,1.228606720E-1,1.258361050E-1
1.603631708E0,-7.284260262E-4,3.782212973E-2,7.270135581E-2,8.195444612E-2
1.613593708E0,4.040122235E-3,2.904545903E-2,6.007502452E-2,6.685035414E-2
1.623555708E0,-6.665261679E-3,2.858235955E-2,1.122981155E-1,1.160699950E-1
1.633517708E0,1.842878834E-2,1.682653248E-2,5.765230380E-2,6.282149766E-2
1.643479708E0,1.230262853E-2,1.597050011E-2,1.537466884E-2,2.535334267E-2
1.653441708E0,1.153422673E-3,-3.339286387E-2,4.144331038E-2,5.323496705E-2
1.663404708E0,3.876139356E-2,7.023675442E-2,2.204868078E-2,8.319730540E-2
1.673366708E0,2.142712176E-3,-8.672005534E-2,5.753221661E-3,8.693709665E-2
1.683328708E0,4.725126746E-2,1.305098534E-2,8.352162838E-3,4.972694560E-2
1.693290708E0,1.781820199E-2,-2.158441186E-2,6.482223272E-3,2.872967761E-2
1.703252708E0,4.706645890E-2,3.153111041E-2,1.732895449E-2,5.924318645E-2
1.713214708E0,1.717213491E-2,-1.861402631E-2,1.477196708E-2,2.931851299E-2
1.723176708E0,9.202754558E-3,-2.220597088E-2,1.655288279E-2,2.918550604E-2
