"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.524616417E0,5.161473062E-3,1.508626156E-4,1.757602440E-4,5.166667723E-3
1.534578417E0,3.862625919E-3,1.395688625E-3,-1.247154549E-3,4.292227883E-3
1.544541417E0,8.468623273E-4,1.431641169E-3,-8.846984711E-4,1.884002023E-3
1.554503417E0,-1.081668073E-3,7.821826730E-4,1.007828978E-3,1.672583272E-3
1.564466417E0,-4.516880028E-3,8.205322083E-4,8.144835010E-4,4.662495219E-3
1.574428417E0,-5.705145188E-3,5.950683262E-4,2.922185231E-3,6.437542578E-3
1.584391417E0,-1.484324876E-2,6.597831380E-4,3.177582519E-3,1.519389280E-2
1.594353417E0,-2.863887139E-2,4.374722484E-4,-1.306037651E-3,2.867197361E-2
1.604316417E0,-4.114640877E-2,-5.686699878E-4,-2.393406583E-3,4.121988276E-2
1.614278417E0,-3.823551163E-2,6.399422418E-4,6.050721277E-5,3.824091444E-2
1.624241417E0,-2.252339572E-2,1.148872310E-3,-4.417649470E-4,2.255700376E-2
1.634203417E0,-8.836867288E-3,1.359633170E-4,1.153156161E-3,8.912826635E-3
1.644166417E0,-4.642122425E-3,1.655296655E-3,-3.704382107E-4,4.942320517E-3
1.654128417E0,-4.647687078E-3,-2.476300579E-4,5.671273684E-4,4.688704434E-3
1.664090417E0,2.208087826E-3,1.494609751E-3,7.735223044E-4,2.776300940E-3
1.674053417E0,8.041065186E-3,1.044120407E-3,3.755872138E-3,8.936190031E-3
1.684015417E0,6.886051968E-3,-4.318035208E-4,9.550256655E-4,6.965360005E-3
1.693978417E0,2.334587974E-3,3.150480334E-4,1.169283176E-3,2.629977076E-3
1.703940417E0,-4.284698516E-3,-3.273063339E-4,-4.424618091E-4,4.319900839E-3
1.713903417E0,-9.247271344E-3,-2.669933252E-3,-2.041039988E-5,9.625018829E-3
1.723865417E0,-1.038603857E-2,-6.632413715E-4,1.374553307E-3,1.049757511E-2
1.733828417E0,-1.371331606E-2,-9.075967828E-4,6.867188495E-5,1.374348883E-2
1.743790417E0,-1.325658429E-2,-2.161146607E-3,6.055651465E-4,1.344523302E-2
1.753753417E0,-1.235905197E-2,-1.491151284E-3,-3.973781131E-4,1.245502336E-2
1.763715417E0,-1.148047578E-2,-2.016060287E-3,-1.949734520E-3,1.181809155E-2
1.773678417E0,-1.436872128E-2,-2.293307800E-3,1.398657798E-3,1.461764877E-2
1.783640417E0,-1.373355743E-2,6.942262407E-4,8.103655418E-4,1.377494980E-2
1.793603417E0,-7.893799804E-3,3.024183214E-3,1.376529690E-4,8.454389854E-3
1.803565417E0,1.926074037E-3,2.667319495E-3,6.990473485E-4,3.363483564E-3
1.813527417E0,1.510259137E-2,5.848938599E-5,-5.730015691E-4,1.511357065E-2
1.823489750E0,2.339993604E-2,8.318712935E-4,1.297070179E-3,2.345061635E-2
1.833451750E0,3.059378825E-2,-9.779353859E-4,6.234198809E-4,3.061576211E-2
1.843414750E0,3.416135907E-2,-8.793984307E-4,-1.269288827E-3,3.419624087E-2
1.853376750E0,3.651750833E-2,1.166034723E-3,2.797308844E-4,3.653719065E-2
1.863339750E0,3.369375691E-2,1.236075768E-3,1.000115997E-3,3.373125212E-2
1.873301750E0,2.799261734E-2,-1.088092569E-3,-1.367174555E-4,2.801409043E-2
1.883264750E0,1.599534228E-2,1.226993510E-3,-6.561097689E-5,1.604246841E-2
1.893226750E0,6.329218391E-3,3.036796115E-4,-2.919158433E-4,6.343220129E-3
1.903189750E0,1.433529425E-3,1.191843767E-3,-2.764696255E-4,1.884657431E-3
1.913151750E0,-4.484318197E-7,3.067823127E-4,-4.219193943E-5,3.096703864E-4
1.923114750E0,-7.613135967E-4,3.299519885E-4,-4.765535705E-4,9.568542276E-4
1.933076750E0,-5.604873877E-4,-9.015639080E-4,-2.014536876E-4,1.080530971E-3
1.943039750E0,-1.520024380E-3,-4.541529343E-4,1.889655832E-4,1.597634813E-3
1.953001750E0,-4.539722577E-3,2.264687326E-3,-1.225910615E-3,5.219266864E-3
1.962963750E0,-6.104862317E-3,3.913184162E-3,8.185982006E-4,7.297428123E-3
1.972926750E0,-7.395599969E-3,3.763670335E-3,4.655716475E-5,8.298330004E-3
1.982888750E0,-6.837666966E-3,3.012392903E-3,8.202054305E-4,7.516710550E-3
