"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.084406666E-1,3.911557142E-4,3.436976112E-4,-1.940072281E-3,2.008733755E-3
9.184026666E-1,-9.570596740E-5,1.648242818E-3,-5.196011625E-5,1.651836515E-3
9.283656667E-1,-6.616278552E-4,4.937625490E-4,6.585713709E-4,1.056063030E-3
9.383276666E-1,-3.407592420E-3,-9.469123324E-4,-2.482547425E-4,3.545413866E-3
9.482906666E-1,-1.841121353E-3,-1.900419593E-4,1.486262074E-3,2.373777314E-3
9.582526666E-1,-1.907482510E-3,-3.032842651E-4,-1.735836267E-3,2.596843935E-3
9.682156666E-1,-2.654232783E-3,-1.051099971E-3,1.458359067E-3,3.205709592E-3
9.781776667E-1,-1.689013327E-3,-8.678328013E-4,-4.592817277E-4,1.953673333E-3
9.881406666E-1,-1.495667500E-3,4.030277487E-4,1.982527319E-4,1.561651941E-3
9.981026666E-1,4.077651538E-4,-7.955427282E-5,-2.676039003E-5,4.163140899E-4
1.008065667E0,-9.163583163E-4,-9.314994095E-4,-1.420753542E-4,1.314377845E-3
1.018028667E0,1.843882259E-3,3.385632299E-4,1.035982743E-3,2.141912017E-3
1.027990667E0,1.304325880E-3,-5.360189825E-4,-9.586079977E-5,1.413425500E-3
1.037953667E0,3.738262923E-3,2.031018957E-4,5.256787408E-4,3.780502374E-3
1.047915667E0,1.185356639E-3,1.610582462E-3,-9.925893974E-4,2.232550098E-3
1.057878667E0,2.774864202E-3,2.037772676E-3,4.531552549E-4,3.472425450E-3
1.067840667E0,1.724247122E-3,-5.044811405E-4,9.117516456E-4,2.014651440E-3
1.077803667E0,1.934548491E-3,1.237385906E-3,1.157724182E-3,2.571755631E-3
1.087765667E0,-8.412776515E-5,-4.015234299E-4,1.714591170E-3,1.762986507E-3
1.097728667E0,-9.288461879E-4,-1.425575698E-3,2.635499695E-4,1.721766505E-3
1.107690667E0,1.000081422E-3,-6.170398556E-4,-3.814676311E-4,1.235483139E-3
1.117653667E0,-1.075011445E-3,2.214433160E-3,-1.510420116E-3,2.888032678E-3
1.127615667E0,-1.292858040E-3,-2.392835449E-3,-8.622067980E-4,2.853163851E-3
