"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.096576042E0,1.988670020E-2,-1.489669550E-3,6.064147353E-3,2.084403616E-2
1.106538042E0,2.336823062E-2,2.557170130E-3,8.758544326E-3,2.508635924E-2
1.116500042E0,1.164663717E-2,1.081077084E-2,8.608270884E-3,1.807261052E-2
1.126462042E0,7.682199832E-3,-1.263742274E-2,3.046106994E-2,3.386144459E-2
1.136424042E0,2.053768260E-3,-1.423906647E-2,2.208142519E-2,2.635447431E-2
1.146385917E0,2.927703161E-3,-1.328184072E-2,2.672002137E-2,2.998229945E-2
1.156347917E0,4.045216850E-3,-1.518293498E-2,2.237787902E-2,2.734327639E-2
1.166309917E0,6.464734159E-3,-6.704636738E-3,8.008931279E-3,1.228364448E-2
1.176271917E0,2.210297766E-3,-2.132013598E-2,5.013987422E-3,2.201303442E-2
1.186233917E0,1.380848070E-2,-1.201474909E-2,5.163091421E-3,1.901804007E-2
1.196195917E0,5.244674926E-3,-1.509897262E-2,1.354799867E-2,2.095313478E-2
1.206157917E0,-1.053917224E-3,-8.778680675E-3,1.953496277E-2,2.144273179E-2
1.216119917E0,-4.208484358E-3,-1.027355790E-3,1.848772645E-2,1.898849204E-2
1.226081917E0,2.384940850E-2,2.600457799E-3,1.100621402E-2,2.639495053E-2
1.236043917E0,8.113500508E-3,2.893202305E-3,2.373034000E-2,2.524536684E-2
1.246005917E0,5.468933919E-3,3.755867612E-3,2.013430238E-2,2.119919602E-2
1.255967917E0,1.055939310E-2,-1.450493205E-3,3.300694764E-2,3.468520298E-2
1.265929917E0,-5.337091768E-4,-6.484744884E-4,2.477289855E-2,2.478713109E-2
1.275891917E0,7.627078404E-3,1.007252332E-2,1.818367124E-2,2.214213067E-2
1.285853917E0,4.771612339E-3,-5.724844392E-3,1.713409603E-2,1.868473640E-2
1.295815917E0,6.979712831E-3,-1.253568118E-2,2.686210871E-2,3.045377773E-2
1.305777917E0,3.796111759E-3,-1.097909756E-2,9.496462941E-3,1.500446121E-2
1.315739917E0,3.047903414E-3,-4.624873493E-3,1.772758842E-2,1.857273704E-2
1.325701917E0,1.510797185E-3,-2.474000797E-2,1.428650200E-2,2.860864628E-2
1.335663917E0,-2.880052922E-3,-9.753594249E-3,9.495878220E-3,1.391398609E-2
1.345625917E0,7.912687480E-4,-2.057439672E-2,1.159210503E-2,2.362855911E-2
1.355586917E0,1.029101961E-3,2.871001158E-3,2.162300348E-2,2.183703226E-2
1.365548917E0,-3.709926998E-3,6.271138787E-4,1.533549249E-2,1.579031856E-2
1.375510917E0,1.944152609E-2,1.188373491E-3,1.713292658E-2,2.594074675E-2
1.385472917E0,2.087972187E-2,-4.303769991E-3,1.279429257E-2,2.486320864E-2
1.395434917E0,8.744521287E-3,2.326479200E-3,1.040219665E-2,1.378712635E-2
1.405396917E0,1.086709826E-2,-1.995106526E-3,2.088391542E-2,2.362651472E-2
1.415358917E0,1.373025706E-2,-2.221083138E-3,1.714403629E-2,2.207648409E-2
1.425320917E0,1.365537730E-2,4.721188098E-3,2.417765200E-2,2.816589787E-2
1.435282917E0,-1.806636604E-3,4.152838737E-3,3.061368227E-2,3.094685037E-2
1.445244917E0,-2.415997559E-3,-9.325998332E-3,2.253049135E-2,2.450376154E-2
1.455206917E0,1.304924944E-3,3.963096589E-3,1.849006534E-2,1.895498562E-2
1.465168917E0,3.659187555E-3,-5.400524922E-3,2.267959535E-2,2.359913914E-2
1.475130917E0,3.377362039E-3,-1.403092386E-2,1.594184875E-2,2.150385873E-2
1.485092917E0,4.918420849E-3,-1.670158479E-2,2.327601135E-2,2.906727546E-2
1.495054917E0,-1.268497476E-3,2.911091130E-3,7.558695674E-3,8.198622915E-3
1.505016917E0,2.867579623E-4,-1.510120187E-2,6.209158301E-3,1.633040645E-2
